Cliente [cód];Venda anual;Últim venda;Família
CLAUDIO EMILIO AVER [42122];24.48;15/10/2014 00:00;ELET
CLAUDIO ERMES EMIDIO JUNIOR [35893];76.37;13/03/2015 00:00;PEL2
CLAUDIO ESTEVAO DANZMANN [60126];63.84;07/07/2023 00:00;IATD
CLAUDIO FABIANO ANDERSEN FERRAMENTAS [64475];22.095.000.000.000.000;19/06/2024 00:00;_ASD
CLAUDIO GERMANN WITT [60299];16.77;11/08/2021 00:00;PSeI
CLAUDIO GILBERTO ARAUJO [33775];47.07;28/08/2014 00:00;_OUT
CLAUDIO GILBERTO ARAUJO [33775];840.72;14/11/2017 00:00;IATD
CLAUDIO GILBERTO DA LUZ RAMOS  [66140];4;17/10/2024 00:00;_ASD
CLAUDIO GUEDES [60242];10;26/10/2023 00:00;IATD
CLAUDIO GUEDES [60242];8.413.000.000.000.000;14/03/2025 00:00;PSeI
CLAUDIO JOSE RICHTER [37236];67.44;02/07/2013 00:00;IATD
CLAUDIO LEANDRO DA CUNHA OTAVIANO [64665];10;06/12/2023 00:00;IATD
CLAUDIO LIPE [41046];70;03/07/2014 00:00;IATD
CLAUDIO LUIS EUGENIO KAUFMANN [37656];74.66;06/08/2013 00:00;_OUT
CLAUDIO LUIS EUGENIO KAUFMANN [37656];28;25/03/2014 00:00;IATD
CLAUDIO LUIS EUGENIO KAUFMANN [37656];9.32;03/06/2014 00:00;PSeI
CLAUDIO LUIZ GARCIA MARTINS [42668];38.28;24/02/2023 00:00;IATD
CLAUDIO LUIZ MARIANI [62577];52.599.999.999.999.900;19/10/2022 00:00;PSeI
CLAUDIO MARTINS DA SILVA [45256];190.9;22/02/2016 00:00;IATD
CLAUDIO MAX LOEFFLER [48219];43.5;27/01/2017 00:00;_ASD
CLAUDIO MAX LOEFFLER [48219];16.38;10/11/2023 00:00;IATD
CLAUDIO MOTTIN CASTIGLIA [38666];445;04/11/2013 00:00;_ASD
CLAUDIO PIRES GOMES [59734];4.6;04/05/2021 00:00;_ASD
CLAUDIO PIRES GOMES [59734];120.56;04/05/2021 00:00;IATD
CLAUDIO PIRES MACHADO [39618];9;07/10/2015 00:00;
CLAUDIO PIRES MACHADO [39618];12;29/05/2014 00:00;_ABR
CLAUDIO PIRES MACHADO [39618];95.9;01/02/2024 00:00;_ASD
CLAUDIO PIRES MACHADO [39618];2.7;12/08/2014 00:00;IATD
CLAUDIO PIRES MACHADO [39618];41.8;22/04/2015 00:00;PR3M
CLAUDIO PIRES MACHADO [39618];6;20/11/2020 00:00;PSeI
CLAUDIO RAUPP [37721];76;04/12/2013 00:00;REFL
CLAUDIO RENATO  FOGAZZI [36862];45.21;27/05/2013 00:00;_OUT
CLAUDIO RENATO  FOGAZZI [36862];4.32;27/05/2013 00:00;PSeI
CLAUDIO RENE ZIMMERMMAN [61759];91.12;07/06/2022 00:00;REFL
CLAUDIO RICARDO POISL [57630];2796;09/11/2023 00:00;SATW
CLAUDIO ROBERTO BROXETE DA SILVA [45120];39.6;10/09/2015 00:00;SATW
CLAUDIO ROBERTO BUTZKE DA SILVA [40434];115;30/04/2014 00:00;_EPI
CLAUDIO ROBERTO DE SOUZA JUNIOR [33908];18.66;16/09/2013 00:00;IATD
CLAUDIO ROBERTO LABRES DE CASTRO JUNIOR [37765];260;15/08/2013 00:00;IATD
CLAUDIO ROBERTO MAGALHAES [44908];40;17/08/2015 00:00;
CLAUDIO ROBERTO OLIVEIRA DE AMORIM JUNIOR [50263];1357;27/08/2020 00:00;_ASD
CLAUDIO ROBERTO OLIVEIRA DE AMORIM JUNIOR [50263];35.7;27/07/2018 00:00;AUTO
CLAUDIO ROBERTO OLIVEIRA DE AMORIM JUNIOR [50263];28.25;27/08/2020 00:00;IATD
CLAUDIO ROBERTO OLIVEIRA DE AMORIM JUNIOR [50263];142.8;23/11/2018 00:00;PLXT
CLAUDIO RODRIGUES SAMPAIO [42273];87;11/11/2014 00:00;IATD
CLAUDIO SAIS DA ROSA PONS [63594];10;19/05/2023 00:00;IATD
CLAUDIO SOUZA DA ENCARNACAO [42579];50;28/08/2018 00:00;
CLAUDIO SOUZA DA ENCARNACAO [42579];162.4;22/11/2024 00:00;_ASD
CLAUDIO SOUZA DA ENCARNACAO [42579];50;10/02/2017 00:00;_OUT
CLAUDIO SOUZA DA ENCARNACAO [42579];27.83;04/05/2022 00:00;FTAQ
CLAUDIO SOUZA DA ENCARNACAO [42579];53.730.000.000.000.000;27/06/2024 00:00;IATD
CLAUDIO SOUZA DA ENCARNACAO [42579];12;03/12/2019 00:00;PSeI
CLAUDIO VINICIUS MACHADO DA ROCHA [54601];41.36;26/04/2019 00:00;IATD
CLAUDIO WILKENS MILLER [42755];50;08/11/2019 00:00;_OUT
CLAUDIO WILKENS MILLER [42755];9;19/06/2019 00:00;IATD
CLAUDIO WILKENS MILLER [42755];4.759.829.999.999.990;10/07/2019 00:00;PR3M
CLAUDIO WILKENS MILLER [42755];21.982.399.999.999.900;06/11/2019 00:00;PSeI
CLAUDIOMAR LUIS SILVEIRA [43897];102;04/05/2015 00:00;IATD
CLAUDIOMIRO BARBOSA RODRIGUES [48004];173.1;08/09/2016 00:00;IATD
CLAUDIOMIRO BARBOSA RODRIGUES [48004];49.5;08/09/2016 00:00;PSeI
CLAUDIOMIRO DOS SANTOS GONCALVES [35701];7;13/02/2013 00:00;IATD
CLAUDIONEI LACERDA [46687];5.8;28/03/2016 00:00;ELET
CLAUDIONEI LACERDA [46687];58.5;30/03/2016 00:00;IATD
CLAUDIONEI LACERDA [46687];1090.4;28/03/2016 00:00;SATW
CLAUDIONIR DO PINHO BRANCO [41137];25.2;19/08/2016 00:00;_EVA
CLAUDIONIR DO PINHO BRANCO [41137];27;24/02/2022 00:00;IATD
CLAUDIONIR DO PINHO BRANCO [41137];45.5;16/08/2018 00:00;TAPT
CLAUDIONOR MOREIRA DO CANTO [54399];12.6;20/05/2019 00:00;IATD
CLAUDIONOR MOREIRA DO CANTO [54399];390.4;30/05/2025 00:00;SATW
CLAUDIR BRITO DOS SANTOS [29422];8.373.000.000.000.000;16/08/2019 00:00;_ASD
CLAUDIR WEBER BATISTA [59109];14.5;14/01/2021 00:00;ELET
CLAUS MARTIN HIRSCHMANN [46978];12.2;05/05/2016 00:00;ELET
CLAUS MARTIN HIRSCHMANN [46978];35.1;05/05/2016 00:00;IATD
CLAUS MARTIN HIRSCHMANN [46978];6.5;05/05/2016 00:00;PSeI
CLAUS ZENAR ALTMANN [55638];9.9;23/09/2019 00:00;_PVC
CLAYTON BEUTER & CIA LTDA [46027];162.1;14/01/2016 00:00;IATD
CLEBER ADRIANO VIEIRA MOURA [41972];38.5;01/10/2014 00:00;ELET
CLEBER ADRIANO VIEIRA MOURA [41972];2.9;01/10/2014 00:00;PSeI
CLEBER BROGNI [66104];31;10/10/2024 00:00;IATD
CLEBER CRUZ [64570];380;16/11/2023 00:00;IATD
CLEBER DE ASSIS FOURNIER [49872];10;12/06/2017 00:00;_ASD
CLEBER DE ASSIS FOURNIER [49872];62;12/06/2017 00:00;IATD
CLEBER DE ASSIS FOURNIER [49872];7;12/06/2017 00:00;PR3M
CLEBER DE ASSIS FOURNIER [49872];38;12/06/2017 00:00;SATW
CLEBER DE LIMA [40285];19.5;14/04/2014 00:00;IATD
CLEBER FONTES PEREIRA [63628];2;29/05/2023 00:00;IATD
CLEBER GARBIN [53805];12.730.000.000.000.000;19/09/2024 00:00;_ASD
CLEBER GARBIN [53805];28;10/01/2019 00:00;ELET
CLEBER GARBIN [53805];15;10/01/2019 00:00;IATD
CLEBER ISMAEL SILVEIRA DE SOUZA [64211];482.75;29/11/2024 00:00;IATD
CLEBER LUIS SANTOS DE SOUZA [41459];63.6;23/09/2014 00:00;IATD
CLEBER MARCIO DE SOUZA TURSKI LTDA Nome Fantasia [66284];170.93;03/09/2025 00:00;IATD
CLEBER MARCIO DE SOUZA TURSKI LTDA Nome Fantasia [66284];261.63;13/11/2024 00:00;SATW
CLEBER SCHULER [65484];93.63;12/06/2024 00:00;_OUT
CLEBIO PACHECO [46502];5;03/03/2016 00:00;
CLEBIO PACHECO [46502];22.259.999.999.999.900;16/05/2023 00:00;_ASD
CLEBIO PACHECO [46502];11.9;01/08/2018 00:00;_EPI
CLEBIO PACHECO [46502];10;12/05/2023 00:00;IATD
CLEBIO PACHECO [46502];47.5;03/03/2016 00:00;TAPT
CLEBRE JUNIOR FROBOSE [37822];7.6;21/08/2013 00:00;IATD
CLECI DE MARCHI [48683];47.04;07/12/2016 00:00;ELET
CLEDISO KUNTZ [52038];39.36;28/05/2024 00:00;_ASD
CLEDISO KUNTZ [52038];14.892.000.000.000.000;28/05/2024 00:00;_OUT
CLEDISO KUNTZ [52038];6;27/01/2020 00:00;_PVC
CLEDISO KUNTZ [52038];64.28;08/04/2021 00:00;AUTO
CLEDISO KUNTZ [52038];11.2;27/01/2020 00:00;ELET
CLEDISO KUNTZ [52038];96.18;10/01/2024 00:00;FTAQ
CLEDISO KUNTZ [52038];12.13;28/05/2024 00:00;IATD
CLEDISO KUNTZ [52038];252.84;28/02/2019 00:00;PAPE
CLEDISO KUNTZ [52038];35.5;07/08/2023 00:00;PSeI
CLEDISO KUNTZ [52038];116;11/05/2018 00:00;SATW
CLEDISO KUNTZ [52038];54.11;07/06/2021 00:00;SIKA
CLEIDESTONE HOMERO DOS SANTOS [56891];29;16/03/2020 00:00;AUTO
CLEIDESTONE HOMERO DOS SANTOS [56891];100;16/03/2020 00:00;IATD
CLEISON LUCAS [47787];38.5;11/08/2016 00:00;_ASD
CLEISON LUCAS [47787];9;11/08/2016 00:00;_PVC
CLEITON ARAUJO [41463];50.4;14/08/2014 00:00;FECH
CLEITON ELOIR WILCHEN BECKER [38922];50;07/01/2014 00:00;_OUT
CLEITON ELOIR WILCHEN BECKER [38922];86.94;30/03/2017 00:00;IATD
CLEITON ELOIR WILCHEN BECKER [38922];103;28/07/2014 00:00;PSeI
CLEITON LUIS KAYSER [43820];257.7;13/11/2023 00:00;_ASD
CLEITON LUIS KAYSER [43820];18;25/07/2019 00:00;IATD
CLEITON LUIS KAYSER [43820];50;13/11/2023 00:00;SATW
CLEITON MULLER DERZETE [56310];10.4;17/02/2020 00:00;_ASD
CLEITON MULLER DERZETE [56310];7;11/12/2019 00:00;ELET
CLEITON MULLER DERZETE [56310];10.571.000.000.000.000;29/05/2020 00:00;IATD
CLEITON PRESTES TEIXEIRA [53544];1866;28/11/2024 00:00;_ASD
CLEITON PRESTES TEIXEIRA [53544];450;11/01/2019 00:00;IATD
CLEITON SANTOS DE MELLO [65894];5;28/08/2024 00:00;_PVC
CLEITON SANTOS DE MELLO [65894];19.5;28/08/2024 00:00;AUTO
CLEO ASSIS MACHADO [30024];12.88;06/06/2018 00:00;REFL
CLEO DOS SANTOS VARGAS [48149];17.420.000.000.000.000;10/05/2017 00:00;IATD
CLEO GERALDO CASAGRANDE [46586];35;02/08/2018 00:00;IATD
CLEO GERALDO CASAGRANDE [46586];6;14/03/2016 00:00;PSeI
CLEO GERALDO CASAGRANDE [46586];42;25/10/2016 00:00;REFL
CLEOMAR DAL COSTEL [60720];46.59;26/10/2021 00:00;IATD
CLEONICE TEIXEIRA FAGUNDES [58469];199.44;26/10/2020 00:00;PLXT
CLESIO ALECSANDRO DE BONA [37481];8.5;22/07/2013 00:00;REFL
CLETO DA SILVEIRA GUEDES [42898];108;12/11/2024 00:00;PSeI
CLEUDIR FABIO ESCOBAR DE LIMA 29813980087 [65392];75.8;27/02/2025 00:00;_ABR
CLEUDIR FABIO ESCOBAR DE LIMA 29813980087 [65392];5.883.199.999.999.990;07/08/2025 00:00;_ASD
CLEUDIR FABIO ESCOBAR DE LIMA 29813980087 [65392];19.5;05/06/2024 00:00;_EPI
CLEUDIR FABIO ESCOBAR DE LIMA 29813980087 [65392];21.92;07/08/2025 00:00;AUTO
CLEUDIR FABIO ESCOBAR DE LIMA 29813980087 [65392];13.5;10/02/2025 00:00;IATD
CLEVER AIROLDI MOREIRA [32668];20;30/05/2018 00:00;
CLEVER AIROLDI MOREIRA [32668];1;27/01/2021 00:00;_ABR
CLEVER AIROLDI MOREIRA [32668];14.4;28/02/2023 00:00;_ASD
CLEVER AIROLDI MOREIRA [32668];94.37;24/06/2024 00:00;_EPI
CLEVER AIROLDI MOREIRA [32668];8.8;28/10/2021 00:00;_PVC
CLEVER AIROLDI MOREIRA [32668];20.65;27/07/2022 00:00;AUTO
CLEVER AIROLDI MOREIRA [32668];4.15;29/10/2018 00:00;ELET
CLEVER AIROLDI MOREIRA [32668];72.713.600.000.000.000;01/09/2025 00:00;IATD
CLEVER AIROLDI MOREIRA [32668];36.5;05/08/2025 00:00;PAPE
CLEVER AIROLDI MOREIRA [32668];4;12/01/2024 00:00;PR3M
CLEVER AIROLDI MOREIRA [32668];25.72;27/08/2024 00:00;PSeI
CLEVER AIROLDI MOREIRA [32668];9;20/08/2020 00:00;SATW
CLEVERTON CUNHA LUCIANO [42068];113.4;23/04/2025 00:00;_PVC
CLEVERTON CUNHA LUCIANO [42068];39.9;23/04/2025 00:00;IATD
CLEVERTON CUNHA LUCIANO [42068];10;14/08/2023 00:00;PSeI
CLEVERTON CUNHA LUCIANO [42068];140;28/11/2023 00:00;SATW
CLEVI FAVERO HOFMEISTER [40678];91.34;23/05/2014 00:00;IATD
CLIC METAIS E PRODUTOS LTDA [63960];46.6;03/08/2023 00:00;PAPE
CLICK SMART SYSTEMS LTDA [66528];295.36;10/02/2025 00:00;IATD
CLIMACO DE OLIVEIRA LOPES [54403];260;03/04/2019 00:00;SATW
CLIMER SOLUCOES AUTOMOTIVAS LTDA. [49247];89;13/07/2022 00:00;_OUT
CLIMER SOLUCOES AUTOMOTIVAS LTDA. [49247];621;17/08/2018 00:00;FTAQ
CLIMER SOLUCOES AUTOMOTIVAS LTDA. [49247];14.639.999.999.999.900;25/01/2024 00:00;IATD
CLIMER SOLUCOES AUTOMOTIVAS LTDA. [49247];223.07;11/09/2017 00:00;PAPE
CLIMER SOLUCOES AUTOMOTIVAS LTDA. [49247];73.7;26/03/2021 00:00;PSeI
CLINICA DE OLHOS MENNA BARRETO LTDA [44194];22.71;12/12/2022 00:00;IATD
CLINICA DE OLHOS MENNA BARRETO LTDA [44194];99;07/07/2023 00:00;SATW
CLINICA DELLAGLIO E FIGUEIREDO SOCIEDADE SIMPLES  [61911];353.6;08/07/2022 00:00;SATW
CLINICA MARONI ODONTOLOGIA LTDA [59167];217.47;03/02/2021 00:00;TAPT
CLINICA ODONTOLOGICA PETROPOLIS LTDA [42216];23.745.999.999.999.900;10/11/2014 00:00;IATD
CLINICA SANTO ANTONIO LTDA [56910];52.2;18/03/2020 00:00;_EPI
CLINICA TODOS SERVICOS DE PSICOLOGIA E TERAPIAS LT [65969];580;11/09/2024 00:00;FECH
CLINTON ZANONI SEVERO [46378];83;06/07/2017 00:00;IATD
CLIO COM E SERVDE ART ELET E DE ILUMINACAO LTDA [65057];268;06/06/2024 00:00;_OUT
CLIO COM E SERVDE ART ELET E DE ILUMINACAO LTDA [65057];286.96;06/06/2024 00:00;IATD
CLIO COM E SERVDE ART ELET E DE ILUMINACAO LTDA [65057];9.58;06/06/2024 00:00;PSeI
CLIPPERTEC INDUSTRIAL E COMERCIAL LTDA [61225];116;07/06/2022 00:00;_OUT
CLIPPERTEC INDUSTRIAL E COMERCIAL LTDA [61225];31.616.400.000.000.000;20/03/2025 00:00;PSeI
CLISTENES PETRO FERREIRA [65945];562.32;09/09/2024 00:00;PSeI
CLOACI ESPINDOLA BRUM [47489];100;22/12/2016 00:00;_OUT
CLOACI ESPINDOLA BRUM [47489];5;04/05/2021 00:00;IATD
CLOACI ESPINDOLA BRUM [47489];38.5;22/12/2016 00:00;PSeI
CLOACI ESPINDOLA BRUM [47489];237;04/05/2021 00:00;SATW
CLODOALDO FONSECA DA SILVA [52085];9.3;11/04/2018 00:00;REFL
CLONIR GUINDANI [57319];602.8;26/03/2025 00:00;_ASD
CLONIR GUINDANI [57319];68.62;26/03/2025 00:00;IATD
CLOON LANE LOCACOES LTDA [52187];16.8;24/04/2018 00:00;IATD
CLOON LANE LOCACOES LTDA [52187];447.72;24/04/2018 00:00;PAPE
CLOVIS AIRTON LEITE DE OLIVEIRA [56679];18;13/02/2020 00:00;IATD
CLOVIS ANDRE STUDZINSKI ME. [28702];533.52;11/05/2022 00:00;_OUT
CLOVIS ANDRE STUDZINSKI ME. [28702];29.6;22/07/2025 00:00;_PVC
CLOVIS ANDRE STUDZINSKI ME. [28702];626.88;22/07/2025 00:00;IATD
CLOVIS ANDRE STUDZINSKI ME. [28702];50.22;25/03/2025 00:00;PSeI
CLOVIS ANTONIO ELIZALDE CINTRA JUNIOR [52745];116.82;27/07/2018 00:00;REFL
CLOVIS DA SILVA COMPIANI  [60683];28.5;26/10/2021 00:00;_ASD
CLOVIS DA SILVA LOPES [45540];8.5;26/10/2015 00:00;_PVC
CLOVIS DAPER - ME [38880];5;02/04/2019 00:00;_ASD
CLOVIS DAPER - ME [38880];5.6;26/11/2013 00:00;ELET
CLOVIS DAPER - ME [38880];63.24;27/11/2024 00:00;IATD
CLOVIS DAPER - ME [38880];6;02/04/2019 00:00;PSeI
CLOVIS DAPER - ME [38880];23.57;27/11/2024 00:00;SIKA
CLOVIS DE DEUS TEIXEIRA [32883];183.75;03/10/2014 00:00;_ASD
CLOVIS DE DEUS TEIXEIRA [32883];86;17/06/2016 00:00;IATD
CLOVIS ELIAS DOS REIS [51038];60;17/11/2017 00:00;_ASD
CLOVIS FRANCESCHETTI [46299];40;10/02/2016 00:00;_OUT
CLOVIS FRANCESCHETTI [46299];43.47;27/03/2017 00:00;IATD
CLOVIS FRANCESCHETTI [46299];12;10/02/2016 00:00;PSeI
CLOVIS HENRIQUE BORGES [46041];3.5;13/01/2016 00:00;ELET
CLOVIS HENRIQUE BORGES [46041];17;13/01/2016 00:00;PSeI
CLOVIS KERBER JUNIOR [47577];86.86;20/07/2016 00:00;IATD
CLOVIS KERBER JUNIOR [47577];5.85;20/07/2016 00:00;PSeI
CLOVIS LUIS LACERDA DOS REIS [42838];235;09/01/2015 00:00;_ASD
CLOVIS MARC DA SILVA [47193];10;19/04/2017 00:00;_ASD
CLOVIS MARC DA SILVA [47193];14.36;19/04/2017 00:00;_EPI
CLOVIS MARC DA SILVA [47193];18.689.999.999.999.900;14/11/2018 00:00;ELET
CLOVIS MARC DA SILVA [47193];28.5;26/07/2018 00:00;PR3M
CLOVIS MARC DA SILVA [47193];190.8;27/03/2019 00:00;PSeI
CLOVIS NEI DOS SANTOS LOUZADA [35554];31.880.000.000.000.000;31/01/2013 00:00;IATD
CLOVIS ROGERIO ERIG 31659055091 [63524];50.88;07/05/2025 00:00;IATD
CLOVIS SOUZA FURQUIM 13968424034 [53020];11;22/02/2021 00:00;_ABR
CLOVIS SOUZA FURQUIM 13968424034 [53020];1163.9;28/10/2021 00:00;_ASD
CLOVIS SPESSATTO LTDA [62699];8.580.000.000.000.000;20/02/2024 00:00;_ABR
CLUBE COMERCIAL SARANDI [62422];345.6;29/09/2022 00:00;SATW
CM COMERCIO DE PRODUTOS AGROPECUARIOS LTDA [56729];6;05/04/2022 00:00;_ASD
CM COMERCIO DE PRODUTOS AGROPECUARIOS LTDA [56729];8.524.000.000.000.000;23/11/2021 00:00;ELET
CM COMERCIO DE PRODUTOS AGROPECUARIOS LTDA [56729];83;05/04/2022 00:00;IATD
CM COMERCIO DE PRODUTOS AGROPECUARIOS LTDA [56729];370.37;05/04/2022 00:00;PAPE
CM COMERCIO DE PRODUTOS AGROPECUARIOS LTDA [56729];353.55;14/07/2021 00:00;PSeI
CMAK AGROINDUSTRIA E COMERCIO DE MAQUINAS E EQUIPA [64364];1450;11/10/2023 00:00;IATD
CMAK INDUSTRIA DE MAQUINAS E EQUIPAMENTOS LTDA [65407];645;08/07/2025 00:00;_ASD
CMT COMERCIO DE MATERIAIS ELETRICOS LTDA - EPP [36190];976.5;13/08/2014 00:00;_ASD
CMT COMERCIO DE MATERIAIS ELETRICOS LTDA - EPP [36190];37.6;22/08/2018 00:00;AUTO
CMT COMERCIO DE MATERIAIS ELETRICOS LTDA - EPP [36190];29.595.000.000.000.000;24/10/2018 00:00;ELET
CMT COMERCIO DE MATERIAIS ELETRICOS LTDA - EPP [36190];119.8;16/11/2020 00:00;IATD
CMV CONSTRUCOES MECANICAS LTDA [31323];11774.32;14/08/2025 00:00;_ASD
CMV CONSTRUCOES MECANICAS LTDA [31323];505.2;18/03/2013 00:00;IATD
CMV CONSTRUCOES MECANICAS LTDA [31323];3518;28/07/2025 00:00;PSeI
CMV CONSTRUCOES MECANICAS LTDA [31323];3120;17/04/2014 00:00;TEFL
CN BASTOS REPRESENTACOES [67237];146.06;01/07/2025 00:00;_OUT
CN BASTOS REPRESENTACOES [67237];50.4;01/07/2025 00:00;IATD
CN DISTRIB. E IMP. COMERCIAL LTDA [25706];16.291.499.999.999.900;05/08/2025 00:00;_ASD
CN DISTRIB. E IMP. COMERCIAL LTDA [25706];755.17;13/06/2024 00:00;_EPI
CN DISTRIB. E IMP. COMERCIAL LTDA [25706];15;05/09/2023 00:00;_EVA
CN DISTRIB. E IMP. COMERCIAL LTDA [25706];252.7;16/04/2025 00:00;_OUT
CN DISTRIB. E IMP. COMERCIAL LTDA [25706];97.6;05/09/2025 00:00;AUTO
CN DISTRIB. E IMP. COMERCIAL LTDA [25706];3;14/09/2021 00:00;ELET
CN DISTRIB. E IMP. COMERCIAL LTDA [25706];52.4;23/09/2021 00:00;FECH
CN DISTRIB. E IMP. COMERCIAL LTDA [25706];23.393.780.000.000.000;12/08/2025 00:00;IATD
CN DISTRIB. E IMP. COMERCIAL LTDA [25706];1183.8;02/12/2021 00:00;PELI
CN DISTRIB. E IMP. COMERCIAL LTDA [25706];1434.02;12/11/2024 00:00;PSeI
CN DISTRIB. E IMP. COMERCIAL LTDA [25706];7.571.099.999.999.990;28/11/2024 00:00;SATW
CN DISTRIB. E IMP. COMERCIAL LTDA [25706];1855.68;05/09/2025 00:00;SIKA
COATING COMERCIO E REPRESENTACOES LTDA [34241];145;04/07/2017 00:00;PSeI
COBEMA CONSTRUTORA BECKER DE MAQ. E EQUIP. LTDA [28191];54;06/12/2018 00:00;IATD
COBIG COMERCIO DE BATATAS IRMAOS GUADAGNIN LTDA. [29508];47.07;02/05/2014 00:00;_OUT
COBRA ROLAMENTOS E AUTOPECAS LTDA [49638];41.92;09/05/2017 00:00;IATD
CODE FITNESS E ASSESSORIA DE COMUNICACAO LTDA    [66834];60.5;02/04/2025 00:00;IATD
CODEMA COMERCIAL E IMPORTADORA LTDA [60493];1125;13/10/2021 00:00;IATD
CODEMA COMERCIAL E IMPORTADORA LTDA [60493];1401.4;13/10/2021 00:00;PAPE
CODINOX COMERCIAL LTDA. [27690];43.479.999.999.999.900;16/01/2013 00:00;_ASD
COESTER AUTOMACAO LTDA [27549];1343;29/03/2023 00:00;_ASD
COESTER AUTOMACAO LTDA [27549];9007.68;29/09/2023 00:00;_OUT
COESTER AUTOMACAO LTDA [27549];104.94;27/04/2020 00:00;FTAQ
COESTER AUTOMACAO LTDA [27549];2189.6;10/06/2025 00:00;IATD
COESTER AUTOMACAO LTDA [27549];107.6;05/06/2023 00:00;PSeI
COFEL COM DE FERRAGENS E LAMINADOS LTDA - EPP [33059];331.2;22/06/2017 00:00;ELET
COFEL COM DE FERRAGENS E LAMINADOS LTDA - EPP [33059];2072;12/12/2018 00:00;FECH
COFEL COM DE FERRAGENS E LAMINADOS LTDA - EPP [33059];854.76;01/02/2018 00:00;IATD
COFEL COM DE FERRAGENS E LAMINADOS LTDA - EPP [33059];208;25/04/2013 00:00;out/02
COFEL COM DE FERRAGENS E LAMINADOS LTDA - EPP [33059];210;27/02/2013 00:00;PSeI
COFERCAN COMERCIAL DE FERROS CANOENSE LTDA [55514];840;12/03/2025 00:00;IATD
COFERCAN COMERCIAL DE FERROS CANOENSE LTDA [55514];780;02/05/2022 00:00;SATW
COFRESINOS LTDA [60737];1192;03/11/2021 00:00;IATD
COINVEL COMERCIO E INDUSTRIA DE VELAS LTDA [63753];60;22/06/2023 00:00;PSeI
COLDBRAS S/A [38072];916;22/10/2018 00:00;_ASD
COLDBRAS S/A [38072];2367.15;01/07/2022 00:00;IATD
COLDBRAS S/A [38072];9.675.500.000.000.000;25/10/2023 00:00;PSeI
COLFIX INDUSTRIA E COMERCIO LTDA [42704];390.6;11/12/2014 00:00;IATD
COLLA CONSTRUCOES LTDA [30338];50;24/03/2015 00:00;_OUT
COLLA CONSTRUCOES LTDA [30338];17.6;19/09/2019 00:00;FELT
COLLA CONSTRUCOES LTDA [30338];328.96;26/06/2013 00:00;PAPE
COLOR SIGN COMUNICACAO VISUAL LTDA [58256];63;05/06/2024 00:00;_OUT
COLOR SIGN COMUNICACAO VISUAL LTDA [58256];700;29/09/2020 00:00;IATD
COLORE ACABAMENTOS LTDA [66361];359.56;31/01/2025 00:00;_ASD
COLORE ACABAMENTOS LTDA [66361];20.801.999.999.999.900;31/01/2025 00:00;IATD
COLOREL IND E COM DE COSMETICOS LTDA - EPP [50822];52;25/10/2017 00:00;_OUT
COLOREL IND E COM DE COSMETICOS LTDA - EPP [50822];38.22;25/10/2017 00:00;IATD
COLORGRAF EMBALAGENS LTDA MATRIZ [42506];3.623.290.000.000.000;05/03/2020 00:00;IATD
COLORGRAF GRAFICA EDITORA LTDA [30583];3893.05;25/02/2025 00:00;IATD
COLORGRAF GRAFICA EDITORA LTDA [30583];567.48;20/01/2021 00:00;PR3M
COLORGRAF GRAFICA EDITORA LTDA [30583];802.8;24/05/2017 00:00;PSeI
COLORMIX - COMERCIO DE TINTAS LTDA [41005];492.9;10/03/2015 00:00;IATD
COM 3 GRAFICA EDITORA LTDA - EPP [43355];330;12/03/2015 00:00;IATD
COM BUFFON COMBUSTIVEIS E TRANSPORTES LIMITADA [60366];6.545.500.000.000.000;20/08/2021 00:00;IATD
COM E IMP DE ALIMENTOS E BEBIDAS CASA  [66852];44.79;07/04/2025 00:00;ELET
COM E IMP DE ALIMENTOS E BEBIDAS CASA  [66852];76.4;07/04/2025 00:00;IATD
COM. DO FIBERGLASS LTDA. [28386];19;13/02/2023 00:00;_ASD
COM. DO FIBERGLASS LTDA. [28386];1;13/02/2023 00:00;IATD
COM. DO FIBERGLASS LTDA. [28386];3;13/02/2023 00:00;PSeI
COMABEM SUPERMERCADO LTDA [63558];166;15/05/2023 00:00;IATD
COMANDER EPI IND COMERCIO E DISTRIBUICAO LTDA [61722];9.144.599.999.999.990;01/06/2022 00:00;PSeI
COMAP COM DE COMP ESQUAD DE ALUM E VIDR LTDA - ME [49683];392.87;17/04/2019 00:00;_ASD
COMAP COM DE COMP ESQUAD DE ALUM E VIDR LTDA - ME [49683];586;06/02/2024 00:00;ELET
COMAP COM DE COMP ESQUAD DE ALUM E VIDR LTDA - ME [49683];3458.25;04/04/2025 00:00;IATD
COMAP COM DE COMP ESQUAD DE ALUM E VIDR LTDA - ME [49683];251.4;23/05/2024 00:00;PAPE
COMAP COM DE COMP ESQUAD DE ALUM E VIDR LTDA - ME [49683];261.6;08/12/2022 00:00;PLXT
COMBAT COMERCIO DE EQUIPAMENTOS CONTRA INCENDIO [60855];2074;08/08/2025 00:00;IATD
COMBAT COMERCIO DE EQUIPAMENTOS CONTRA INCENDIO [60855];4845;16/06/2025 00:00;SATW
COMBAT PREVENÇÃO TOTAL CONTRA INCENDIO LTDA [56970];5119.32;09/09/2021 00:00;IATD
COMBAT PREVENÇÃO TOTAL CONTRA INCENDIO LTDA [56970];11356;02/09/2021 00:00;SATW
